ref,title,author,date,canon_degree,word_count,book_count,part_count,chapter_count,paragraph_count,sentence_count,verb_count,titled_book_count,titled_part_count,titled_chapter_count
2004_Volodine-Antoine_Bardo-or-not-Bardo.xml,Bardo or not Bardo    ,"Volodine, Antoine",2004,empty,61183,0,0,7,7,3829,6396,0,0,7
1909_Giraudoux-Jean_Provinciales.xml,Provinciales    ,"Giraudoux, Jean",1909,empty,45193,0,2,25,644,1632,5003,0,2,25
1912_Lafon-Andre_L-eleve-Gilles.xml,L'élève Gilles    ,"Lafon, André",1912,empty,44528,0,0,4,249,1376,5604,0,0,4
1959_Sarraute-Nathalie_Le-Planetarium.xml,Le Planétarium    ,"Sarraute, Nathalie",1959,empty,92849,0,0,0,326,5604,8907,0,0,0
1872_Daudet-Alphonse_Le-Pere-Achille.xml,Le Père Achille    ,"Daudet, Alphonse",1872,empty,1729,0,0,1,56,79,153,0,0,1
1839_Dumas-Alexandre_Aventures-de-Lyderic.xml,Aventures de Lyderic,,1839,empty,30234,0,0,10,496,675,3067,0,0,0
1882_Greville-Henry_Angele.xml,Angèle    ,"Gréville, Henry",1882,empty,89982,0,0,46,2728,3237,9652,0,0,46
1994_Chevillard-Eric_Prehistoire.xml,Préhistoire    ,"Chevillard, Éric",1994,empty,38598,0,0,0,225,709,3222,0,0,0
1837_Sand-George_La-derniere-Aldini.xml,La dernière Aldini,,1837,empty,73851,0,0,3,989,2429,7632,0,0,3
1856_Feval-Paul-(pere)_La-Louve-Tome-I.xml,La Louve - Tome I    ,"Féval, Paul (père)",1856,empty,59121,0,2,20,1866,2062,5910,0,2,20
1912_Loti-Pierre-Gautier-Judith_La-fille-du-ciel-Drame-Chinois.xml,La fille du ciel. Drame Chinois    ,"Loti, Pierre ; Gautier, Judith",1912,empty,9696,0,0,10,488,589,870,0,0,8
1845_Merimee-Prosper_Carmen.xml,Carmen    ,"Mérimée, Prosper",1845,empty,23144,0,0,0,68,1028,2552,0,0,0
2009_Musso-Guillaume_Que-serais-je-sans-toi.xml,Que serais-je sans toi    ,"Musso, Guillaume",2009,empty,103029,0,0,35,7682,6633,8256,0,0,35
1878_Houssaye-Arsene_Arsene-Houssaye-Les-Trois-duchesses-Volume-2-(1878).xml,Arsène Houssaye. Les Trois duchesses - Volume 2 (1878)    ,"Houssaye, Arsène",1878,empty,57580,5,0,42,1956,2740,5368,5,0,42
2002_Bergounioux-Pierre_Back-in-the-sixties.xml,Back in the sixties    ,"Bergounioux, Pierre",2002,empty,7808,0,0,3,66,297,576,0,0,3
1911_Leroux-Gaston_Le-fauteuil-hante.xml,Le fauteuil hanté    ,"Leroux, Gaston",1911,empty,56242,0,0,19,1724,1633,5307,0,0,19
1894_Chabrillat-Henri-Ivoi-Paul-d-_Les-cinq-sous-de-Lavarede.xml,Les cinq sous de Lavarède    ,"Chabrillat, Henri ; Ivoi Paul d'",1894,empty,162547,0,0,30,5460,8301,15905,0,0,30
1875_Deslys-Charles_La-Loi-de-Dieu-par-Charles-Deslys-(1875).xml,"La Loi de Dieu, par Charles Deslys (1875)    ","Deslys, Charles",1875,empty,92033,0,0,72,3291,3676,9094,0,0,14
1876_Zola-Emile_Son-excellence-Eugene-Rougon.xml,Son excellence Eugène Rougon,"Zola, Jules",1876,empty,157396,0,0,13,2900,7254,16549,0,0,0
1884_Normand-Jacques_Le-Monde-où-nous-sommes-par-Jacques-Normand-(1884).xml,"Le Monde où nous sommes, par Jacques Normand (1884)    ","Normand, Jacques",1884,empty,54700,0,0,22,1494,2080,4545,0,0,22
2013_Inconnu_Le-roman-d-un-seminariste-nouvelles-etudes-de-moeurs-contemporaines.xml,"Le roman d'un séminariste, nouvelles études de moeurs contemporaines    ",Inconnu,2013,empty,114570,0,0,59,675,3177,9510,0,0,59
1883_Greville-Henry_Louis-Breuil-histoire-d-un-pantouflard.xml,"Louis Breuil, histoire d'un pantouflard    ","Gréville, Henry",1883,empty,56285,0,0,20,1391,2080,6032,0,0,20
1880_Brehat-Alfred-de_Les-Aventures-de-Charlot.xml,Les Aventures de Charlot    ,"Bréhat, Alfred de",1880,empty,52138,0,0,22,1644,2709,5560,0,0,22
1931_Saint-Exupery-Antoine-de_Vol-de-nuit.xml,Vol de nuit    ,"Saint-Exupéry, Antoine de",1931,empty,23169,0,0,23,703,1228,2377,0,0,6
1874_Feval-Paul-(pere)_La-Bande-Cadet-Les-Habits-Noirs-Tome-VIII.xml,La Bande Cadet - Les Habits Noirs - Tome VIII    ,"Féval, Paul (père)",1874,empty,134499,0,2,59,4435,4910,12894,0,2,59
1877_Goncourt-Edmond-et-Jules-de_La-fille-Elisa.xml,La fille Élisa    ,"Goncourt, Edmond de",1877,empty,44523,2,0,64,688,1536,3100,2,0,64
1988_Orsenna-Erik_L-exposition-coloniale.xml,L'exposition coloniale    ,"Orsenna, Erik",1988,empty,189670,0,1,1,4250,8922,16471,0,1,1
2013_Regnault-Warin-Jean-Joseph-(1775-1844)_L-homme-au-masque-de-fer-(tome-3).xml,L'homme au masque de fer (tome 3)    ,"Regnault-Warin, Jean-Joseph (1775-1844)",2013,empty,44318,0,0,13,265,1377,4095,0,0,13
2003_Daeninckx-Didier_La-route-du-Rom.xml,La route du Rom    ,"Daeninckx, Didier",2003,empty,45580,0,0,14,929,1891,3833,0,0,14
1807_Staël-Madame-de_Corinne-ou-l-Italie.xml,Corinne ou l'Italie    ,"Staël, Madame de",1807,empty,199177,19,0,99,750,5020,18988,19,0,99
1891_Dubut-de-Laforest-Jean-Louis_Morphine.xml,Morphine    ,"Dubut de Laforest, Jean-Louis",1891,empty,36503,0,0,16,1548,1176,3422,0,0,2
2013_Laveaux-Jean-Charles_Eusebe-ou-les-Beaux-profits-de-la-vertu-dans-le-siecle-où-nous-vivons-[.xml,"Eusèbe, ou les Beaux profits de la vertu dans le siècle où nous vivons [    ","Laveaux, Jean-Charles",2013,empty,34222,0,0,61,301,1098,3000,0,0,61
2013_Feval-Paul-(pere)_Madame-Gil-Blas-souvenirs-et-aventures-d-une-femme-de-notre-temps-(Volume-2).xml,"Madame Gil Blas, souvenirs et aventures d'une femme de notre temps (Volume 2)    ","Féval, Paul (père)",2013,empty,21062,1,0,10,12,1225,2057,1,0,10
2013_Ulbach-Louis_Le-Mari-d-Antoinette.xml,Le Mari d'Antoinette    ,"Ulbach, Louis",2013,empty,128554,0,0,35,3205,5203,13440,0,0,16
1935_Duhamel-Georges_La-nuit-de-la-Saint-Jean.xml,La nuit de la Saint-Jean    ,"Duhamel, Georges",1935,empty,62806,1,0,19,1568,4011,6131,1,0,19
1966_San-Antonio_Beru-contre-San-Antonio.xml,Béru contre San-Antonio    ,San-Antonio,1966,empty,66038,0,0,1,2160,1881,6725,0,0,1
1877_Malot-Hector_Comte-du-Pape.xml,Comte du Pape    ,"Malot, Hector",1877,empty,115681,0,0,59,3560,3856,10580,0,0,33
1971_Tournier-Michel_Vendredi-ou-la-vie-sauvage.xml,Vendredi ou la vie sauvage    ,"Tournier, Michel",1971,empty,34321,0,0,35,449,1564,3362,0,0,35
1942_Vercors_Le-silence-de-la-mer.xml,Le silence de la mer    ,Vercors,1941,empty,11213,0,0,0,216,570,1196,0,0,0
1944_Queneau-Raymond_Loin-De-Rueil.xml,Loin De Rueil    ,"Queneau, Raymond",1944,empty,44711,0,0,50,1760,2762,4645,0,0,41
1930_Galopin-Arnould_Le-sergent-Bucaille.xml,Le sergent Bucaille    ,"Galopin, Arnould",1930,empty,68393,0,2,31,1743,2223,7248,0,2,31
1929_Dabit-Eugene_L-Hotel-du-Nord.xml,L'Hôtel du Nord    ,"Dabit, Eugène",1929,empty,43831,0,0,35,1463,2897,5278,0,0,16
1865_Erckmann-Chatrian_Histoire-d-un-homme-du-peuple.xml,Histoire d'un homme du peuple    ,"Erckmann, Émile",1865,empty,90780,0,0,30,2281,2981,9452,0,0,30
1908_Colette_Les-Vrilles-de-la-vigne.xml,Les Vrilles de la vigne    ,Colette,1908,empty,34601,0,1,23,615,832,3184,0,1,23
1973_Simon-Claude_Triptyque.xml,Triptyque    ,"Simon, Claude",1973,empty,67893,0,0,2,12,1701,5584,0,0,2
1907_Segalen-Victor_Les-Immemoriaux.xml,Les Immémoriaux    ,"Segalen, Victor",1907,empty,75378,0,3,12,1079,3047,7886,0,3,12
1806_Beaufort-d--Hautpoul-Anne-Marie-de_Childeric-Roi-des-Francs-(tome-premier).xml,"Childéric, Roi des Francs, (tome premier)    ","Beaufort d' Hautpoul, Anne Marie de",1806,empty,40624,20,0,0,125,961,4111,20,0,0
1861_Villars-Fanny_Marie-et-Marguerite-histoire-du-XIIIe-siecle.xml,"Marie et Marguerite, histoire du XIIIe siècle    ","Villars, Fanny",2013,empty,60696,0,0,34,994,2091,6011,0,0,34
1911_Zevaco-Michel_L-Hotel-Saint-Pol.xml,L'Hôtel Saint-Pol    ,"Zévaco, Michel",1911,empty,115217,0,0,30,3642,5202,12428,0,0,29
1909_Leblanc-Maurice_L-Aiguille-creuse.xml,L'Aiguille creuse    ,"Leblanc, Maurice",1909,empty,73175,0,0,10,2243,3267,6787,0,0,10
1944_Simenon-Georges_Felicie-est-la.xml,Félicie est là    ,"Simenon, Georges",1944,empty,41192,0,0,8,1573,1290,4036,0,0,8
1876_Delpit-Albert_Jean-nu-pieds-chronique-de-1832-(volume-1).xml,"Jean-nu-pieds, chronique de 1832 (volume 1)    ","Delpit, Albert",1876,empty,112509,0,2,67,5825,5958,12168,0,2,23
1884_Sernhac-Jocelyn_Jocelyn-Sernhac-Le-Credit-gaulois-histoire-d-une-femme-nue-(1884).xml,"Jocelyn Sernhac. Le Crédit gaulois, histoire d'une femme nue (1884)    ","Sernhac, Jocelyn",1884,empty,80431,0,2,37,2519,2744,7005,0,2,37
1846_Dumas-Alexandre_La-Dame-de-Monsoreau.xml,La Dame de Monsoreau,,1846,empty,328286,0,0,100,13026,13064,34386,0,0,100
1999_Echenoz-Jean_Je-m-en-vais.xml,Je m'en vais    ,"Échenoz, Jean",1999,empty,55870,0,0,35,406,1938,5204,0,0,0
